Region,2020,2021,2022,2023,2024
DOLNOŚLĄSKIE,2908378.0,2897737.0,2888033.0,2879271.0,2868242.0
KUJAWSKO-POMORSKIE,2031550.0,2017720.0,2006876.0,1996003.0,1984479.0
LUBELSKIE,2056908.0,2038299.0,2024637.0,2011047.0,1996440.0
LUBUSKIE,993329.0,985487.0,979976.0,975023.0,969819.0
MAZOWIECKIE,5517616.0,5512794.0,5510612.0,5510527.0,5508322.0
MAŁOPOLSKIE,3432692.0,3430370.0,3429014.0,3429632.0,3429084.0
OPOLSKIE,955844.0,948583.0,942441.0,936725.0,930296.0
PODKARPACKIE,2096166.0,2085932.0,2079098.0,2071676.0,2062997.0
PODLASKIE,1156591.0,1148720.0,1143355.0,1138216.0,1132641.0
POMORSKIE,2358256.0,2358726.0,2358307.0,2359573.0,2359493.0
WARMIŃSKO-MAZURSKIE,1385622.0,1374699.0,1366430.0,1357910.0,1349172.0
WIELKOPOLSKIE,3507042.0,3500030.0,3493577.0,3487973.0,3479986.0
ZACHODNIOPOMORSKIE,1661073.0,1650021.0,1640622.0,1631784.0,1622760.0
ŁÓDZKIE,2415816.0,2394946.0,2378483.0,2362519.0,2345924.0
ŚLĄSKIE,4412097.0,4375947.0,4346702.0,4320130.0,4291441.0
ŚWIĘTOKRZYSKIE,1199584.0,1187693.0,1178164.0,1168499.0,1157991.0
