Kategoria,Rok,Liczba,Suma,Średnia,Mediana,Odch.std,Min,Q1,Q3,Max,Rozstęp,IQR,Wsp.zm.(%),Skośność,Kurtoza
ogółem,2020,16,22384,1399.0,1038.0,826.95,417,786.25,2133.0,2880,2463,1346.75,59.11,0.57,-1.14
ogółem,2021,16,21841,1365.06,1027.5,796.45,418,759.25,2130.25,2988,2570,1371.0,58.35,0.57,-0.91
ogółem,2022,16,20476,1279.75,920.0,785.08,321,705.75,1968.5,2811,2490,1262.75,61.35,0.5,-1.13
ogółem,2023,16,20065,1254.06,951.5,764.26,329,676.25,1870.75,2723,2394,1194.5,60.94,0.49,-1.15
ogółem,2024,16,20607,1287.94,899.0,810.81,338,681.75,1892.25,2770,2432,1210.5,62.95,0.52,-1.26
wina kierujących pojazdami - ogółem,2020,16,20999,1312.44,972.0,776.69,393,739.5,1989.5,2695,2302,1250.0,59.18,0.59,-1.1
wina kierujących pojazdami - ogółem,2021,16,20623,1288.94,974.0,749.46,400,713.25,1980.75,2828,2428,1267.5,58.15,0.59,-0.86
wina kierujących pojazdami - ogółem,2022,16,19391,1211.94,868.0,743.72,310,670.0,1856.75,2664,2354,1186.75,61.37,0.51,-1.13
wina kierujących pojazdami - ogółem,2023,16,19058,1191.12,892.0,727.05,314,649.25,1764.0,2595,2281,1114.75,61.04,0.5,-1.14
wina kierujących pojazdami - ogółem,2024,16,19636,1227.25,859.5,769.01,325,647.75,1791.0,2628,2303,1143.25,62.66,0.52,-1.27
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu,2020,16,5516,344.75,320.5,186.9,89,205.75,481.25,705,616,275.5,54.21,0.54,-0.74
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu,2021,16,5254,328.38,314.0,182.59,95,186.0,466.25,717,622,280.25,55.6,0.59,-0.49
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu,2022,16,4473,279.56,258.0,164.53,79,152.5,382.5,613,534,230.0,58.85,0.62,-0.68
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu,2023,16,4216,263.5,210.5,165.28,68,128.75,382.0,608,540,253.25,62.72,0.76,-0.56
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu,2024,16,4269,266.81,199.0,171.87,72,137.0,395.75,587,515,258.75,64.42,0.7,-1.01
wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu,2020,16,5708,356.75,257.5,244.97,102,175.25,478.25,820,718,303.0,68.67,0.88,-0.47
wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu,2021,16,5566,347.88,265.0,216.94,108,170.25,487.75,765,657,317.5,62.36,0.63,-0.99
wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu,2022,16,4530,283.12,200.0,186.66,65,132.75,431.5,607,542,298.75,65.93,0.52,-1.29
wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu,2023,16,4576,286.0,244.0,178.92,66,136.25,411.25,634,568,275.0,62.56,0.5,-0.99
wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu,2024,16,5169,323.06,226.5,205.11,94,160.75,492.75,706,612,332.0,63.49,0.57,-1.16
wina kierujących pojazdami - nieprawidłowe wyprzedzanie,2020,16,1036,64.75,52.5,42.06,17,35.25,81.5,162,145,46.25,64.96,1.18,0.74
wina kierujących pojazdami - nieprawidłowe wyprzedzanie,2021,16,1012,63.25,56.5,31.2,25,38.75,81.75,134,109,43.0,49.32,0.74,-0.0
wina kierujących pojazdami - nieprawidłowe wyprzedzanie,2022,16,925,57.81,47.0,38.94,18,35.0,67.0,168,150,32.0,67.36,1.78,3.49
wina kierujących pojazdami - nieprawidłowe wyprzedzanie,2023,16,917,57.31,52.5,33.68,21,32.25,68.5,155,134,36.25,58.76,1.76,3.96
wina kierujących pojazdami - nieprawidłowe wyprzedzanie,2024,16,938,58.62,42.5,36.93,21,31.0,77.5,154,133,46.5,63.0,1.24,1.41
wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych,2020,16,2817,176.06,133.5,110.53,51,85.5,281.25,372,321,195.75,62.78,0.6,-1.11
wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych,2021,16,2648,165.5,124.5,97.63,47,90.25,258.0,345,298,167.75,58.99,0.4,-1.34
wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych,2022,16,2835,177.19,120.0,116.27,49,87.25,278.75,394,345,191.5,65.62,0.49,-1.31
wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych,2023,16,3084,192.75,129.5,123.4,54,95.25,308.0,416,362,212.75,64.02,0.5,-1.37
wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych,2024,16,2886,180.38,122.5,116.6,37,98.5,303.75,361,324,205.25,64.64,0.39,-1.58
wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami,2020,16,1535,95.94,79.0,57.78,20,53.75,123.25,216,196,69.5,60.23,0.77,-0.18
wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami,2021,16,1607,100.44,82.5,65.5,20,43.75,143.5,215,195,99.75,65.21,0.59,-1.13
wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami,2022,16,1663,103.94,91.0,67.38,22,42.5,166.0,218,196,123.5,64.83,0.45,-1.33
wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami,2023,16,1538,96.12,77.5,65.8,9,42.5,149.75,203,194,107.25,68.46,0.29,-1.51
wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami,2024,16,1505,94.06,79.0,66.78,14,44.75,133.75,257,243,89.0,71.0,0.97,0.69
wina kierujących pojazdami - pozostałe,2020,16,4387,274.19,193.0,164.84,81,143.75,456.0,543,462,312.25,60.12,0.57,-1.37
wina kierujących pojazdami - pozostałe,2021,16,4536,283.5,196.0,178.84,85,148.25,446.5,669,584,298.25,63.08,0.82,-0.48
wina kierujących pojazdami - pozostałe,2022,16,4965,310.31,218.5,196.05,77,149.75,479.5,705,628,329.75,63.18,0.54,-1.03
wina kierujących pojazdami - pozostałe,2023,16,4727,295.44,228.5,187.03,73,146.0,462.25,610,537,316.25,63.31,0.44,-1.46
wina kierujących pojazdami - pozostałe,2024,16,4869,304.31,222.0,203.04,73,138.0,454.5,684,611,316.5,66.72,0.54,-1.22
wina pieszych - ogółem,2020,16,1385,86.56,76.0,53.07,15,48.75,128.25,185,170,79.5,61.31,0.51,-0.76
wina pieszych - ogółem,2021,16,1218,76.12,64.5,49.74,16,40.5,112.75,162,146,72.25,65.35,0.51,-1.04
