Kategoria,Rok,Liczba,Średnia,Mediana,Odch.std,Min,Q1,Q3,Max,Rozstęp,IQR,Wsp.zm.(%),Skośność,Kurtoza
Wypadki ogółem,2020,16,5.8,5.27,1.56,3.61,5.06,6.56,9.65,6.05,1.5,26.84,0.97,1.14
Wypadki ogółem,2021,16,5.68,5.57,1.35,3.64,5.14,6.22,9.22,5.58,1.08,23.72,0.95,2.26
Wypadki ogółem,2022,16,5.25,5.04,1.41,2.81,4.5,6.24,8.86,6.06,1.73,26.9,0.8,1.85
Wypadki ogółem,2023,16,5.17,5.03,1.36,2.89,4.37,6.06,8.59,5.7,1.7,26.3,0.78,1.48
Wypadki ogółem,2024,16,5.32,5.03,1.53,2.98,4.27,6.47,8.98,5.99,2.2,28.75,0.84,0.7
Wina kierujących - ogółem,2020,16,5.45,4.9,1.48,3.4,4.73,6.15,9.1,5.7,1.42,27.18,0.98,1.08
Wina kierujących - ogółem,2021,16,5.38,5.32,1.29,3.48,4.92,5.81,8.74,5.26,0.89,23.92,0.94,2.17
Wina kierujących - ogółem,2022,16,4.98,4.74,1.34,2.71,4.33,5.87,8.4,5.68,1.54,26.87,0.83,1.81
Wina kierujących - ogółem,2023,16,4.92,4.83,1.31,2.76,4.2,5.74,8.23,5.47,1.54,26.71,0.79,1.5
Wina kierujących - ogółem,2024,16,5.08,4.84,1.46,2.87,4.05,6.12,8.58,5.71,2.07,28.7,0.85,0.74
Niedostosowanie prędkości,2020,16,1.49,1.38,0.48,0.84,1.11,1.78,2.38,1.54,0.67,32.51,0.56,-0.67
Niedostosowanie prędkości,2021,16,1.41,1.41,0.42,0.75,1.16,1.56,2.22,1.47,0.4,30.13,0.46,-0.1
Niedostosowanie prędkości,2022,16,1.19,1.13,0.38,0.6,0.96,1.41,1.94,1.34,0.45,31.7,0.57,0.01
Niedostosowanie prędkości,2023,16,1.12,1.09,0.36,0.47,0.94,1.41,1.66,1.18,0.47,32.34,-0.35,-0.8
Niedostosowanie prędkości,2024,16,1.14,1.07,0.38,0.38,0.93,1.49,1.68,1.3,0.55,33.64,-0.27,-0.77
Nieprzestrzeganie pierwszeństwa,2020,16,1.43,1.29,0.48,0.88,1.22,1.48,2.7,1.82,0.27,33.77,1.7,2.78
Nieprzestrzeganie pierwszeństwa,2021,16,1.43,1.39,0.38,0.97,1.11,1.52,2.41,1.44,0.41,26.83,1.14,1.66
Nieprzestrzeganie pierwszeństwa,2022,16,1.14,1.08,0.38,0.57,0.93,1.25,2.24,1.67,0.32,33.67,1.58,3.91
Nieprzestrzeganie pierwszeństwa,2023,16,1.17,1.15,0.34,0.68,0.88,1.38,2.0,1.32,0.5,29.43,0.73,0.72
Nieprzestrzeganie pierwszeństwa,2024,16,1.33,1.19,0.38,0.83,1.07,1.54,2.34,1.51,0.47,28.65,1.33,2.02
Nieprawidłowe wyprzedzanie,2020,16,0.27,0.27,0.09,0.15,0.19,0.35,0.43,0.29,0.16,33.6,0.3,-1.17
Nieprawidłowe wyprzedzanie,2021,16,0.28,0.27,0.05,0.2,0.24,0.31,0.36,0.17,0.07,19.06,0.13,-1.05
Nieprawidłowe wyprzedzanie,2022,16,0.25,0.23,0.09,0.16,0.19,0.28,0.49,0.33,0.09,34.62,1.6,3.48
Nieprawidłowe wyprzedzanie,2023,16,0.25,0.25,0.05,0.16,0.21,0.28,0.32,0.16,0.07,20.25,-0.22,-1.03
Nieprawidłowe wyprzedzanie,2024,16,0.25,0.23,0.07,0.15,0.21,0.3,0.37,0.22,0.09,26.15,0.4,-0.85
Zachowanie wobec pieszych,2020,16,0.71,0.68,0.19,0.42,0.6,0.84,1.16,0.74,0.24,26.8,0.56,0.44
Zachowanie wobec pieszych,2021,16,0.68,0.66,0.18,0.44,0.55,0.74,1.11,0.67,0.19,26.7,0.95,0.87
Zachowanie wobec pieszych,2022,16,0.71,0.69,0.22,0.43,0.52,0.84,1.26,0.83,0.32,31.42,0.89,0.86
Zachowanie wobec pieszych,2023,16,0.78,0.75,0.22,0.49,0.64,0.86,1.39,0.9,0.22,28.67,1.25,2.59
Zachowanie wobec pieszych,2024,16,0.73,0.77,0.26,0.38,0.57,0.84,1.46,1.08,0.27,35.01,1.34,3.45
Niezachowanie odległości,2020,16,0.41,0.47,0.15,0.17,0.33,0.5,0.61,0.43,0.16,35.59,-0.66,-0.91
Niezachowanie odległości,2021,16,0.41,0.45,0.13,0.17,0.35,0.49,0.58,0.4,0.15,31.25,-0.68,-0.6
Niezachowanie odległości,2022,16,0.43,0.47,0.14,0.19,0.32,0.52,0.64,0.44,0.2,33.0,-0.49,-0.86
Niezachowanie odległości,2023,16,0.39,0.38,0.18,0.08,0.28,0.51,0.66,0.58,0.23,44.97,-0.06,-0.92
Niezachowanie odległości,2024,16,0.39,0.39,0.18,0.12,0.25,0.48,0.75,0.63,0.23,44.85,0.41,-0.42
Pozostałe (kierujący),2020,16,1.14,1.1,0.32,0.7,0.94,1.33,1.91,1.21,0.39,28.19,0.8,0.76
Pozostałe (kierujący),2021,16,1.17,1.19,0.35,0.74,1.03,1.28,2.23,1.49,0.24,29.6,1.79,5.57
Pozostałe (kierujący),2022,16,1.27,1.18,0.37,0.67,1.07,1.47,2.25,1.58,0.4,29.24,1.1,2.37
Pozostałe (kierujący),2023,16,1.21,1.15,0.39,0.64,1.03,1.37,2.26,1.62,0.34,31.85,1.17,2.68
Pozostałe (kierujący),2024,16,1.24,1.17,0.42,0.64,0.97,1.46,2.31,1.67,0.49,33.64,1.05,1.77
Wina pieszych - ogółem,2020,16,0.35,0.35,0.1,0.16,0.33,0.39,0.55,0.39,0.07,27.97,-0.13,0.58
Wina pieszych - ogółem,2021,16,0.3,0.31,0.09,0.16,0.25,0.33,0.48,0.32,0.08,30.76,0.4,0.11
Wina pieszych - ogółem,2022,16,0.28,0.27,0.09,0.1,0.25,0.33,0.47,0.37,0.08,32.49,0.0,0.8
Wina pieszych - ogółem,2023,16,0.25,0.26,0.08,0.12,0.21,0.3,0.38,0.26,0.09,33.19,-0.26,-0.79
Wina pieszych - ogółem,2024,16,0.24,0.23,0.08,0.11,0.19,0.28,0.4,0.28,0.09,35.34,0.42,-0.73
Nieostrożne wejście (piesi),2020,16,0.21,0.22,0.07,0.08,0.17,0.25,0.37,0.28,0.08,33.52,0.36,0.29
Nieostrożne wejście (piesi),2021,16,0.19,0.18,0.06,0.08,0.15,0.22,0.32,0.24,0.07,33.37,0.53,0.5
Nieostrożne wejście (piesi),2022,16,0.17,0.18,0.06,0.04,0.15,0.21,0.3,0.26,0.06,35.66,-0.24,0.91
Nieostrożne wejście (piesi),2023,16,0.15,0.16,0.06,0.05,0.12,0.19,0.25,0.2,0.06,35.96,-0.26,-0.56
Nieostrożne wejście (piesi),2024,16,0.14,0.13,0.04,0.08,0.11,0.17,0.21,0.13,0.06,28.68,0.18,-1.2
Pozostałe (piesi),2020,16,0.14,0.15,0.04,0.07,0.1,0.17,0.19,0.12,0.07,31.86,-0.3,-1.44
Pozostałe (piesi),2021,16,0.11,0.11,0.04,0.04,0.08,0.14,0.17,0.13,0.06,33.19,-0.05,-0.96
Pozostałe (piesi),2022,16,0.1,0.1,0.04,0.04,0.07,0.13,0.18,0.13,0.05,38.9,0.43,-0.56
Pozostałe (piesi),2023,16,0.1,0.09,0.04,0.03,0.08,0.12,0.15,0.12,0.05,37.27,0.03,-0.49
Pozostałe (piesi),2024,16,0.1,0.09,0.05,0.04,0.06,0.12,0.2,0.16,0.05,50.54,0.81,-0.22
