,Liczba,Średnia,Odch.std,Min,25%,Mediana,75%,Max
ogółem_2020,16.0,1399.0,826.95,417.0,786.25,1038.0,2133.0,2880.0
ogółem_2021,16.0,1365.06,796.45,418.0,759.25,1027.5,2130.25,2988.0
ogółem_2022,16.0,1279.75,785.08,321.0,705.75,920.0,1968.5,2811.0
ogółem_2023,16.0,1254.06,764.26,329.0,676.25,951.5,1870.75,2723.0
ogółem_2024,16.0,1287.94,810.81,338.0,681.75,899.0,1892.25,2770.0
wina kierujących pojazdami - ogółem_2020,16.0,1312.44,776.69,393.0,739.5,972.0,1989.5,2695.0
wina kierujących pojazdami - ogółem_2021,16.0,1288.94,749.46,400.0,713.25,974.0,1980.75,2828.0
wina kierujących pojazdami - ogółem_2022,16.0,1211.94,743.72,310.0,670.0,868.0,1856.75,2664.0
wina kierujących pojazdami - ogółem_2023,16.0,1191.12,727.05,314.0,649.25,892.0,1764.0,2595.0
wina kierujących pojazdami - ogółem_2024,16.0,1227.25,769.01,325.0,647.75,859.5,1791.0,2628.0
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu_2020,16.0,344.75,186.9,89.0,205.75,320.5,481.25,705.0
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu_2021,16.0,328.38,182.59,95.0,186.0,314.0,466.25,717.0
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu_2022,16.0,279.56,164.53,79.0,152.5,258.0,382.5,613.0
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu_2023,16.0,263.5,165.28,68.0,128.75,210.5,382.0,608.0
wina kierujących pojazdami - niedostosowanie prędkości do warunków ruchu_2024,16.0,266.81,171.87,72.0,137.0,199.0,395.75,587.0
wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu_2020,16.0,356.75,244.97,102.0,175.25,257.5,478.25,820.0
wina kierujących pojazdami - nieprzestrzeganie pierwszeństwa przejazdu_2021,16.0,347.88,216.94,108.0,170.25,265.0,487.75,765.0
